,ID,Time Taken(s),Total Power(J),CPU(J),Monitor(J),Disk(J),Base(J),Power Consumption (w)
0,CAM-0000,164,527.0000000000003,287.29999999999984,0.0,0.3,246.0,3.2134146341463437
1,CAM-0049,704,2264.0000000000005,1241.1000000000015,0.0,0.0,1056.0,3.2159090909090917
2,CAM-0024,222,708.4000000000004,384.0999999999999,0.0,0.0,333.0,3.190990990990993
3,CAM-0003,164,529.0000000000003,289.3999999999999,0.0,0.0,246.0,3.225609756097563
4,CAM-0026,97,313.79999999999984,172.59999999999997,0.0,0.0,145.5,3.235051546391751
5,CAM-0008,19,61.3,33.5,0.0,0.0,28.5,3.2263157894736842
6,CAM-0041,38,123.7,69.10000000000001,0.0,0.0,57.0,3.255263157894737
7,CAM-0033,840,2695.7999999999915,1474.9999999999984,0.0,0.6,1260.0,3.2092857142857043
8,CAM-0025,124,398.5999999999999,218.49999999999983,0.0,0.0,186.0,3.2145161290322575
9,CAM-0006,53,172.79999999999995,95.69999999999996,0.0,0.0,79.5,3.2603773584905653
