,ID,Time Taken(s),Total Energy(J),CPU(J),Monitor(J),Disk(J),Base(J),Power Consumption (w)
0,FIR-0042,340,1045.8999999999978,551.1999999999994,0.0,0.0,510.0,3.076176470588229
1,FIR-0037,218,709.1000000000013,388.80000000000007,0.0,0.0,327.0,3.2527522935779873
2,FIR-0003,933,3013.3999999999915,1654.0999999999992,0.0,0.0,1399.5,3.229796355841363
3,FIR-0049,93,288.2,152.8,0.0,0.0,139.5,3.0989247311827954
4,FIR-0043,527,1623.0000000000016,855.7999999999993,0.0,0.0,790.5,3.07969639468691
5,FIR-0041,129,397.6999999999998,209.50000000000009,0.0,0.0,193.5,3.082945736434107
6,FIR-0014,74,238.5,131.49999999999997,0.0,0.0,111.0,3.222972972972973
7,FIR-0009,119,386.5,212.29999999999984,0.0,0.0,178.5,3.2478991596638656
8,FIR-0012,86,280.1999999999999,154.69999999999996,0.0,0.0,129.0,3.2581395348837194
9,FIR-0000,92,295.69999999999993,162.2,0.0,0.0,138.0,3.214130434782608
