,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,18.15972023010254,0.1958831545456783,0.4034233570098877,0.023479744614225705,800,{'n_estimators': 800},0.7232186136694134,0.7479398933591856,0.8167716917111003,0.7702375181774115,0.5324927255092143,0.7181320884852651,0.09779682835752705,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,13.638394498825074,0.11199506920842103,0.3051802158355713,0.023875677052321503,600,{'n_estimators': 600},0.724188075618032,0.7493940862821135,0.8095007270964615,0.7741153659718856,0.5290979631425801,0.7172592436222145,0.09821042125916062,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,11.332009410858154,0.13212367122744512,0.25072011947631834,0.010772190284104897,500,{'n_estimators': 500},0.7232186136694134,0.752302472127969,0.8080465341735337,0.7721764420746485,0.5470417070805044,0.7205571538252138,0.09103999281060256,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,15.950048875808715,0.2842849256966191,0.35138139724731443,0.011504604184798208,700,{'n_estimators': 700},0.7270964614638875,0.7513330101793505,0.8099854580707707,0.7731459040232671,0.5543161978661494,0.723175406320685,0.08871831077504373,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,6.832810974121093,0.07422046584498665,0.15048575401306152,0.009288403595627822,300,{'n_estimators': 300},0.7227338826951042,0.7547261269995152,0.8133785748909356,0.7765390208434318,0.5324927255092143,0.7199740661876403,0.09827367069741809,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,2.2684560775756837,0.02782595705384052,0.05369129180908203,0.003986718831148327,100,{'n_estimators': 100},0.7256422685409598,0.741153659718856,0.8099854580707707,0.7682985942801746,0.5737148399612028,0.7237589641143928,0.08029713367106805,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6,22.719415283203126,0.31738866711619607,0.516838788986206,0.03345050900017131,1000,{'n_estimators': 1000},0.7212796897721765,0.7552108579738245,0.812409112942317,0.7726611730489579,0.5431619786614937,0.7209445624797539,0.0936176374689847,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7,9.088251638412476,0.09459129915053881,0.20180058479309082,0.012680479018091207,400,{'n_estimators': 400},0.7203102278235579,0.7503635482307319,0.8128938439166262,0.7702375181774115,0.5528612997090203,0.7213332875714695,0.08944447733528495,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,4.551032400131225,0.062482132711061365,0.10130190849304199,0.005710424992716925,200,{'n_estimators': 200},0.7217644207464857,0.7493940862821135,0.8065923412506059,0.7770237518177412,0.533462657613967,0.7176474515421826,0.09631778133530264,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,20.360750007629395,0.219850675396302,0.45150294303894045,0.023938899258392685,900,{'n_estimators': 900},0.7232186136694134,0.754241396025206,0.81047018904508,0.7687833252544838,0.5455868089233754,0.7204600665835118,0.09183289554366673,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
