,para_str,total (J),cpu (J),monitor (J),disk (J),base (J),prev accuracy,curr accuracy
0,91_01412_0.15815515861170867_01412_0.7638910483452004_01412_0.42413851876349873_01412_0.6775438321742909_01412_8.739485687806013_01412_90.66533038018946_01412_734_01412_entropy_01412_log2,394.50000000000006,221.8999999999999,0.0,0.0,177.0,0.8985,0.8985
1,91_01412_0.8913680549015369_01412_0.3756356840602375_01412_0.5552988897118324_01412_0.7983762811673834_01412_5.0416350351980865_01412_64.35322747328385_01412_474_01412_entropy_01412_sqrt,251.8999999999999,142.29999999999995,0.0,0.0,112.5,0.898,0.8985
2,92_01412_0.9771686234270697_01412_0.7014162123723362_01412_0.3997579841745089_01412_0.7458109954413861_01412_7.531525971878763_01412_56.26746267024188_01412_331_01412_gini_01412_log2,118.20000000000003,67.5,0.0,0.0,52.5,0.896,0.897
3,93_01412_0.4978640123835224_01412_0.5090871677180451_01412_0.6405368411366579_01412_0.9978071365524831_01412_2.7311981207266167_01412_72.36074137762624_01412_382_01412_gini_01412_None,297.39999999999986,168.5999999999999,0.0,0.0,132.0,0.896,0.895
4,95_01412_0.8614281821799779_01412_0.796477014594362_01412_0.16222991347347518_01412_0.12790798540042644_01412_6.31227604521258_01412_69.61764669660025_01412_385_01412_entropy_01412_sqrt,213.2,122.09999999999997,0.0,0.0,94.5,0.8985,0.8965
5,97_01412_0.9438204041366877_01412_0.396522923244772_01412_0.4146905428757267_01412_0.5522537806491677_01412_2.7311627730694776_01412_28.57121461763877_01412_877_01412_gini_01412_None,670.7000000000005,380.3000000000002,0.0,0.0,298.5,0.895,0.8955
6,98_01412_0.1620250793876899_01412_0.7148662079685199_01412_0.5098202571739955_01412_0.2766591676913609_01412_1.8334548704830722_01412_56.605941637707154_01412_453_01412_entropy_01412_log2,250.59999999999994,143.59999999999997,0.0,0.0,111.0,0.898,0.898
7,98_01412_0.5805667496027078_01412_0.7908295827629502_01412_0.8605589896372443_01412_0.7299708124859677_01412_3.6293641988156766_01412_95.87501351316344_01412_556_01412_entropy_01412_None,680.8000000000005,384.7000000000002,0.0,0.0,304.5,0.8965,0.8965
8,98_01412_0.8421580891314715_01412_0.36058448419170686_01412_0.4229900265402229_01412_0.8974353438812812_01412_5.104054995589838_01412_26.88854018667195_01412_55_01412_entropy_01412_None,70.20000000000002,39.6,0.0,0.0,31.5,0.895,0.8965
9,99_01412_0.6065806115722011_01412_0.7300750229310955_01412_0.5671611565357214_01412_0.16376167261209595_01412_0.23221404236269283_01412_97.61762871372734_01412_82_01412_entropy_01412_sqrt,47.7,27.499999999999996,0.0,0.0,21.0,0.899,0.896
