,population_size,alpha,beta0,gamma,theta,n_estimators,criterion,max_features,Accuracy,Time_Taken (s),Energy_Consumed (J),Carbon_Produced (g)
0,92,0.6888614162029947,52.18801682220773,0.3188231352805478,0.9250069727230008,603,gini,None,0.8955,134,473.89999999999986,111.89305555555552
1,92,0.8917689509621813,75.21115868102953,0.4953294691693303,0.8911943611104965,763,gini,sqrt,0.897,83,301.60000000000014,71.21111111111114
2,96,0.2516367853464829,70.13790805268793,0.19782976616073777,0.24484640879538802,784,gini,sqrt,0.896,90,334.9999999999999,79.0972222222222
3,96,0.6977176058434643,87.70189108515437,0.6065868016880548,0.8126356408929927,155,gini,sqrt,0.897,27,118.10000000000001,27.884722222222223
4,97,0.339917893893679,26.90229719206553,0.2991060412692049,0.9748137598692992,442,gini,sqrt,0.8975,58,213.3,50.362500000000004
5,97,0.6093638083744835,77.14335365372531,0.1566317327912343,0.4866691431631054,890,entropy,None,0.897,327,1121.3000000000009,264.7513888888891
6,97,0.6912494292777428,27.437643957648575,0.9079932955207126,0.7518558732210319,441,gini,sqrt,0.8975,53,174.7,41.24861111111111
7,97,0.7479764968153081,88.0352266753072,0.9650044847454018,0.9967386416740249,155,entropy,log2,0.8955,33,111.99999999999999,26.44444444444444
8,98,0.19329034745811474,27.18373292498957,0.23804526018221936,0.4970729075306286,442,entropy,log2,0.8975,77,260.50000000000006,61.50694444444446
9,98,0.31146568589073076,26.255561073029718,0.49968920520769866,0.49391512558050055,441,entropy,log2,0.8975,76,249.99999999999997,59.02777777777777
