,population_size,c1,c2,w,min_velocity,max_velocity,repair_name,n_estimators,criterion,max_features,Accuracy,Time_Taken (s),Energy_Consumed (J),Carbon_Produced (g)
0,91,2.704741634341676,2.357163305143348,0.33244030337154784,-0.16914713467884823,1.646312022716676,wang,922,gini,log2,0.8965,95,317.69999999999976,75.01249999999995
1,92,0.02764837596486025,1.9731085634820027,0.95052768147119,-1.6340290197456913,6.077785843141161,limit,211,gini,log2,0.8955,21,73.00000000000001,17.236111111111114
2,92,0.9981423577590038,0.5113021438538676,0.6445110102534299,-4.278186575158704,5.344901667618234,limit_inverse,688,entropy,sqrt,0.8985,109,364.3,86.01527777777778
3,93,3.7436005911368513,1.6686946151749145,0.522424522068217,-0.9968438012486764,2.7115281980679837,limit,917,entropy,log2,0.898,144,484.70000000000005,114.44305555555556
4,94,0.06988530011700833,0.09054350717283333,0.46095570914729067,-1.5175423269342403,8.19765113499068,wang,78,gini,None,0.8945,19,67.9,16.031944444444445
5,94,2.0521934146057568,2.6107577089982477,0.024541445093642533,-0.5639418021116427,2.8404854851168193,limit_inverse,917,gini,log2,0.896,96,314.59999999999985,74.28055555555552
6,95,0.10820664649417111,2.1633228490050516,0.4926960805605297,-3.8893539135499964,4.662421452411892,limit,955,gini,None,0.896,218,734.9000000000003,173.51805555555563
7,95,3.308712754318638,1.77731899126595,0.5451183359850342,-7.521277526432513,2.489155922482029,wang,364,gini,None,0.897,82,272.79999999999984,64.41111111111107
8,96,2.0080278600549915,2.953493900549278,0.458282794221349,-5.240878847482088,8.26051209557114,wang,886,gini,sqrt,0.897,93,306.4000000000001,72.34444444444446
9,97,3.48637736076165,3.190731641721087,0.8931415381840049,-9.592953257530382,3.9727473001188685,limit,531,gini,None,0.8955,121,402.6999999999999,95.08194444444442
