,population_size,loudness,pulse_rate,epsilon,alpha,min_frequency,max_frequency,n_estimators,criterion,max_features,Accuracy,Time_Taken (s),Energy_Consumed (J),Carbon_Produced (g)
0,91,0.15815515861170867,0.7638910483452004,0.03601539097372208,0.6775438321742909,8.739485687806013,90.66533038018946,734,entropy,log2,0.898,117,394.4000000000002,93.12222222222226
1,91,0.8913680549015369,0.3756356840602375,0.05058876552353693,0.7983762811673834,5.0416350351980865,64.35322747328385,474,entropy,sqrt,0.8975,77,261.19999999999993,61.6722222222222
2,92,0.9771686234270697,0.7014162123723362,0.03330644268605655,0.7458109954413861,7.531525971878763,56.26746267024188,331,gini,log2,0.8965,35,115.70000000000003,27.318055555555564
3,93,0.4978640123835224,0.5090871677180451,0.060059649015184215,0.9978071365524831,2.7311981207266167,72.36074137762624,382,gini,None,0.8965,87,289.5,68.35416666666667
4,95,0.8614281821799779,0.796477014594362,0.006914434830386129,0.12790798540042644,6.31227604521258,69.61764669660025,385,entropy,sqrt,0.8985,61,209.4999999999999,49.46527777777775
5,97,0.9438204041366877,0.396522923244772,0.03496561587508075,0.5522537806491677,2.7311627730694776,28.57121461763877,877,gini,None,0.895,201,672.7999999999998,158.85555555555553
6,98,0.1620250793876899,0.7148662079685199,0.045535584130443944,0.2766591676913609,1.8334548704830722,56.605941637707154,453,entropy,log2,0.897,74,249.7999999999999,58.98055555555553
7,98,0.5805667496027078,0.7908295827629502,0.08450655440413826,0.7299708124859677,3.6293641988156766,95.87501351316344,556,entropy,None,0.8985,204,679.9000000000005,160.53194444444458
8,98,0.8421580891314715,0.36058448419170686,0.03588778072669143,0.8974353438812812,5.104054995589838,26.88854018667195,55,entropy,None,0.898,20,67.0,15.819444444444445
9,99,0.6065806115722011,0.7300750229310955,0.05190679517063571,0.16376167261209595,0.23221404236269283,97.61762871372734,82,entropy,sqrt,0.8965,13,49.199999999999996,11.616666666666665
