,Algo Name,n_estimators,Time Taken,Accuracy,Total Energy (J),Base Energy (J),CPU Energy (J),Monitor Energy (J),Disk Energy (J)
0,Grey Wolf Optimizer,50,9,71.92972294169171,49.9,13.5,35.1,0.0,0.0
1,Grey Wolf Optimizer,100,16,70.94045801670276,58.999999999999986,24.0,35.49999999999999,0.0,0.0
2,Grey Wolf Optimizer,150,33,71.90058266449707,121.39999999999999,49.5,72.39999999999999,0.0,0.0
3,Grey Wolf Optimizer,200,44,72.03629323261961,164.90000000000003,66.0,100.1,0.0,0.0
4,Grey Wolf Optimizer,250,58,72.20124281072502,254.3,87.0,168.6,0.0,0.0
5,Grey Wolf Optimizer,300,69,71.74537472149126,279.4,103.5,177.10000000000002,0.0,0.0
6,Grey Wolf Optimizer,350,77,72.09447035265941,308.80000000000007,115.5,194.20000000000002,0.0,0.0
7,Grey Wolf Optimizer,400,92,72.3369110647955,351.39999999999986,138.0,215.10000000000002,0.0,0.0
8,Grey Wolf Optimizer,450,104,72.05566836690797,378.79999999999995,156.0,225.60000000000002,0.0,0.0
9,Grey Wolf Optimizer,500,114,72.10416027058425,411.70000000000016,171.0,244.60000000000008,0.0,0.0
10,Bat Algorithm,50,13,72.08507193153775,51.7,19.5,31.1,0.0,0.0
11,Bat Algorithm,100,23,72.54074255519515,83.39999999999999,34.5,49.0,0.0,0.0
12,Bat Algorithm,150,36,72.45347687513546,131.1,54.0,77.89999999999999,0.0,0.0
13,Bat Algorithm,200,46,72.03612397641133,168.50000000000003,69.0,100.80000000000001,0.0,0.0
14,Bat Algorithm,250,59,71.67744186166784,217.7,88.5,130.20000000000002,0.0,0.0
15,Bat Algorithm,300,69,72.17208842884632,248.00000000000006,103.5,146.4,0.0,0.0
16,Bat Algorithm,350,81,72.13330995090159,285.29999999999995,121.5,167.89999999999998,0.0,0.0
17,Bat Algorithm,400,94,71.86171955844817,346.5,141.0,207.10000000000008,0.0,0.0
18,Bat Algorithm,450,102,72.35628619908385,364.0000000000001,153.0,215.3000000000001,0.0,0.0
19,Bat Algorithm,500,108,71.83260749062156,370.30000000000007,162.0,213.79999999999998,0.0,0.0
20,Hybrid Bat Algorithm,50,13,71.63882793837006,47.800000000000004,19.5,27.2,0.0,0.0
21,Hybrid Bat Algorithm,100,21,72.41452443942109,70.99999999999999,31.5,40.20000000000001,0.0,0.0
22,Hybrid Bat Algorithm,150,34,72.02653749283601,118.29999999999997,51.0,67.50000000000001,0.0,0.0
23,Hybrid Bat Algorithm,200,46,72.37568954274025,151.1,69.0,85.89999999999998,0.0,0.0
24,Hybrid Bat Algorithm,250,57,71.55137889741803,207.80000000000004,85.5,123.60000000000002,0.0,0.0
25,Hybrid Bat Algorithm,300,67,72.19142124908261,243.0,100.5,144.4,0.0,0.0
26,Hybrid Bat Algorithm,350,78,72.40482041681221,278.40000000000003,117.0,163.3,0.0,0.0
27,Hybrid Bat Algorithm,400,88,72.11378906821166,314.29999999999995,132.0,183.50000000000003,0.0,0.0
28,Hybrid Bat Algorithm,450,101,72.59876452371068,363.7,151.5,214.89999999999995,0.0,0.0
29,Hybrid Bat Algorithm,500,111,71.94897583538517,400.2,166.5,236.60000000000002,0.0,0.0
30,Firefly Algorithm,50,13,71.53225294588081,52.199999999999996,19.5,31.299999999999994,0.0,0.0
31,Firefly Algorithm,100,25,72.72487920513522,91.50000000000001,37.5,54.49999999999999,0.0,0.0
32,Firefly Algorithm,150,36,72.00712944761827,127.8,54.0,76.10000000000001,0.0,0.0
33,Firefly Algorithm,200,46,71.65799150239805,166.7,69.0,98.60000000000002,0.0,0.0
34,Firefly Algorithm,250,58,72.60845444163552,207.19999999999993,87.0,121.1,0.0,0.0
35,Firefly Algorithm,300,69,71.99749124686818,248.79999999999993,103.5,148.09999999999997,0.0,0.3
36,Firefly Algorithm,350,79,72.04603016615788,280.69999999999993,118.5,162.2,0.0,0.0
37,Firefly Algorithm,400,91,71.95883971107963,326.80000000000007,136.5,192.00000000000003,0.0,0.0
38,Firefly Algorithm,450,102,71.91984966287454,360.69999999999993,153.0,209.8000000000001,0.0,0.0
39,Firefly Algorithm,500,102,72.05566366534663,380.1,153.0,228.99999999999994,0.0,0.1
40,Hybrid Self Adaptive Bat Algorithm,50,9,71.52226682959144,33.4,13.5,20.099999999999998,0.0,0.0
41,Hybrid Self Adaptive Bat Algorithm,100,17,71.60952310652844,69.2,25.5,44.20000000000001,0.0,0.0
42,Hybrid Self Adaptive Bat Algorithm,150,24,72.2885884173275,94.40000000000002,36.0,57.900000000000006,0.0,0.0
43,Hybrid Self Adaptive Bat Algorithm,200,35,72.35633791625861,132.39999999999998,52.5,80.3,0.0,0.0
44,Hybrid Self Adaptive Bat Algorithm,250,45,72.23025614576343,175.20000000000002,67.5,106.69999999999999,0.0,0.0
45,Hybrid Self Adaptive Bat Algorithm,300,54,72.03627442637426,200.30000000000007,81.0,120.4,0.0,0.0
46,Hybrid Self Adaptive Bat Algorithm,350,62,71.75505523629342,228.0,93.0,136.3,0.0,0.0
47,Hybrid Self Adaptive Bat Algorithm,400,73,72.17206021947828,272.90000000000003,109.5,164.70000000000002,0.0,0.0
48,Hybrid Self Adaptive Bat Algorithm,450,81,72.1332535321655,288.2000000000001,121.5,169.00000000000003,0.0,0.0
49,Hybrid Self Adaptive Bat Algorithm,500,92,72.57933767224758,333.1000000000002,138.0,197.6,0.0,0.0
