,n_estimators,Time Taken,Accuracy,Total CO2 Emission (mg),Base CO2 Emission (mg),CPU CO2 Emission (mg),Monitor CO2 Emission (mg),Disk CO2 Emission (mg)
0,50,9,71.28970409783385,8.783333333333333,3.5416666666666665,5.312500000000001,0.0,0.0
1,100,19,72.12347428457517,18.086111111111112,7.083333333333333,11.120833333333332,0.0,0.0
2,150,28,71.95875978453684,25.145833333333332,10.270833333333334,14.969444444444441,0.0,0.0
3,200,37,71.7066620654053,32.89027777777778,13.104166666666666,19.880555555555564,0.0,0.0
4,250,48,72.23015271141394,41.86249999999999,17.0,24.815277777777784,0.0,0.11805555555555555
5,300,56,72.07509521837106,49.27638888888891,19.833333333333332,29.67916666666666,0.0,0.0
6,350,62,71.93937994868716,51.4486111111111,21.958333333333332,29.938888888888883,0.0,0.0
7,400,71,72.14288703135423,60.5861111111111,25.145833333333332,36.07777777777778,0.0,0.04722222222222222
8,450,79,72.25938231827408,63.18333333333332,27.625,36.50277777777777,0.0,0.0
9,500,88,71.9102725824219,71.8013888888889,31.166666666666664,41.34305555555556,0.0,0.02361111111111111
