,Algo Name,n_estimators,Time Taken,Accuracy,Total CO2 Emission (mg),Base CO2 Emission (mg),CPU CO2 Emission (mg),Monitor CO2 Emission (mg),Disk CO2 Emission (mg)
0,Grey Wolf Optimizer,50,9,70.22294803881421,9.633333333333333,3.1875,6.445833333333334,0.0,0.0
1,Grey Wolf Optimizer,100,16,72.06528776141269,16.244444444444444,5.666666666666666,10.67222222222222,0.0,0.0
2,Grey Wolf Optimizer,150,25,71.72586324192402,22.12361111111111,8.854166666666666,13.387499999999998,0.0,0.0
3,Grey Wolf Optimizer,200,36,72.69577183886997,32.27638888888889,12.75,19.66805555555555,0.0,0.0
4,Grey Wolf Optimizer,250,45,72.43385725965737,40.091666666666676,15.9375,24.248611111111106,0.0,0.0
5,Grey Wolf Optimizer,300,53,72.23028905669284,46.82083333333334,18.770833333333332,28.28611111111111,0.0,0.0
6,Grey Wolf Optimizer,350,63,71.85203904364602,55.769444444444446,22.3125,33.83472222222221,0.0,0.0
7,Grey Wolf Optimizer,400,75,71.9393611424418,66.4888888888889,26.5625,40.30416666666667,0.0,0.0
8,Grey Wolf Optimizer,450,81,71.9683368649895,68.7083333333333,28.6875,40.5875,0.0,0.0
9,Grey Wolf Optimizer,500,91,72.53086457481665,79.28611111111114,32.583333333333336,47.127777777777794,0.0,0.0
10,Bat Algorithm,50,11,70.08714814102616,9.963888888888889,3.895833333333333,6.0680555555555555,0.0,0.0
11,Bat Algorithm,100,18,72.39538438319981,15.819444444444445,6.375,9.562499999999998,0.0,0.0
12,Bat Algorithm,150,28,72.2107775771256,24.154166666666665,9.916666666666666,14.49722222222222,0.0,0.0
13,Bat Algorithm,200,37,71.7356142801463,32.34722222222222,13.458333333333332,19.054166666666664,0.0,0.0
14,Bat Algorithm,250,46,71.64830628603454,40.54027777777777,16.291666666666668,24.484722222222217,0.0,0.0
15,Bat Algorithm,300,55,72.00715295542496,47.718055555555566,19.125,28.94722222222222,0.0,0.0
16,Bat Algorithm,350,64,72.20109236076209,55.462500000000006,22.666666666666664,33.220833333333346,0.0,0.0
17,Bat Algorithm,400,73,72.0266080162561,63.18333333333335,25.854166666666664,37.65972222222223,0.0,0.0
18,Bat Algorithm,450,84,72.19144005532797,72.8638888888889,29.75,43.538888888888884,0.0,0.0
19,Bat Algorithm,500,92,72.26905342995356,79.21527777777774,32.583333333333336,47.03333333333334,0.0,0.0
20,Hybrid Bat Algorithm,50,9,71.28970409783385,8.783333333333333,3.5416666666666665,5.312500000000001,0.0,0.0
21,Hybrid Bat Algorithm,100,19,72.12347428457517,18.086111111111112,7.083333333333333,11.120833333333332,0.0,0.0
22,Hybrid Bat Algorithm,150,28,71.95875978453684,25.145833333333332,10.270833333333334,14.969444444444441,0.0,0.0
23,Hybrid Bat Algorithm,200,37,71.7066620654053,32.89027777777778,13.104166666666666,19.880555555555564,0.0,0.0
24,Hybrid Bat Algorithm,250,48,72.23015271141394,41.86249999999999,17.0,24.815277777777784,0.0,0.11805555555555555
25,Hybrid Bat Algorithm,300,56,72.07509521837106,49.27638888888891,19.833333333333332,29.67916666666666,0.0,0.0
26,Hybrid Bat Algorithm,350,62,71.93937994868716,51.4486111111111,21.958333333333332,29.938888888888883,0.0,0.0
27,Hybrid Bat Algorithm,400,71,72.14288703135423,60.5861111111111,25.145833333333332,36.07777777777778,0.0,0.04722222222222222
28,Hybrid Bat Algorithm,450,79,72.25938231827408,63.18333333333332,27.625,36.50277777777777,0.0,0.0
29,Hybrid Bat Algorithm,500,88,71.9102725824219,71.8013888888889,31.166666666666664,41.34305555555556,0.0,0.02361111111111111
30,Firefly Algorithm,50,12,71.8619264271472,11.498611111111112,4.604166666666667,6.941666666666666,0.0,0.0
31,Firefly Algorithm,100,19,71.43502935889981,16.268055555555556,6.729166666666666,9.58611111111111,0.0,0.0
32,Firefly Algorithm,150,29,72.04603486771923,25.169444444444448,10.270833333333334,15.016666666666664,0.0,0.0
33,Firefly Algorithm,200,40,71.4447709939994,34.94444444444445,14.166666666666666,20.943055555555556,0.0,0.0
34,Firefly Algorithm,250,48,72.20128982633842,45.35694444444446,17.0,28.522222222222226,0.0,0.0
35,Firefly Algorithm,300,57,72.1236482423448,49.20555555555555,20.541666666666668,29.065277777777776,0.0,0.0
36,Firefly Algorithm,350,67,71.86170545376413,57.70555555555557,23.729166666666664,34.35416666666667,0.0,0.0
37,Firefly Algorithm,400,76,72.4241203261191,67.26805555555556,27.270833333333332,40.39861111111111,0.0,0.0
38,Firefly Algorithm,450,85,71.44468166433391,73.05277777777778,30.104166666666664,43.49166666666666,0.0,0.0
39,Firefly Algorithm,500,92,72.33693457260222,78.69583333333335,32.583333333333336,46.537499999999994,0.0,0.0
40,Hybrid Self Adaptive Bat Algorithm,50,11,71.60970646742075,10.979166666666666,4.25,6.8,0.0,0.0
41,Hybrid Self Adaptive Bat Algorithm,100,18,71.93929061902168,15.677777777777775,6.375,9.444444444444443,0.0,0.0
42,Hybrid Self Adaptive Bat Algorithm,150,29,71.7453324074392,25.948611111111106,10.625,15.465277777777773,0.0,0.0
43,Hybrid Self Adaptive Bat Algorithm,200,40,72.77329588383006,35.84166666666667,14.166666666666666,21.887499999999996,0.0,0.0
44,Hybrid Self Adaptive Bat Algorithm,250,46,71.9780785000891,39.12361111111112,16.291666666666668,23.06805555555555,0.0,0.0
45,Hybrid Self Adaptive Bat Algorithm,300,56,71.97819603912262,48.78055555555554,19.833333333333332,29.183333333333337,0.0,0.0
46,Hybrid Self Adaptive Bat Algorithm,350,63,71.98773550708454,52.65277777777777,22.666666666666664,30.48194444444444,0.0,0.0
47,Hybrid Self Adaptive Bat Algorithm,400,73,71.98774491020723,57.79999999999998,25.5,33.079166666666666,0.0,0.0
48,Hybrid Self Adaptive Bat Algorithm,450,80,71.76474045265692,66.79583333333332,28.333333333333332,39.21805555555556,0.0,0.0
49,Hybrid Self Adaptive Bat Algorithm,500,94,71.93931882838973,81.34027777777774,33.291666666666664,48.473611111111126,0.0,0.0
